sequence,frames,annotations,tracks,objects_per_frame,median_bbox_area,mean_bbox_area,occlusion_rate,heavy_occlusion_rate,truncation_rate,n_pedestrian,n_car,n_van,n_truck,n_bus
uav0000273_00001_v,872,24829,88,28.47362385321101,2736.0,5823.3349309275445,0.8971364130653671,0.42619517499697934,0.04132264690482903,1672,13969,1413,7514,261
uav0000278_00001_v,962,40673,259,42.27962577962578,1056.0,1961.4109114154353,0.4777370737344184,0.01108843704668945,0.07840582204410788,8457,27867,2582,1575,192
uav0000279_00001_v,547,43430,183,79.39670932358318,1260.0,2649.045406401105,0.3577020492746949,0.0,0.03497582316371172,7425,33712,805,1488,0
uav0000281_00460_v,508,17583,137,34.61220472440945,5220.0,8865.146960131946,0.465847693795143,0.0,0.09310129101973497,4077,13157,45,304,0
uav0000288_00001_v,1424,36952,282,25.94943820224719,2397.0,8366.656337951938,0.13371400736090064,0.01109547521108465,0.04789997835029227,19118,16018,1669,147,0
uav0000289_00001_v,500,13804,59,27.608,3840.0,6403.89734859461,0.47942625325992466,0.048826427122573166,0.18704723268617793,4239,8904,661,0,0
uav0000289_06922_v,210,6796,110,32.36190476190476,7520.0,6467.672012948793,0.1411124190700412,0.008975868157739847,0.05311948204826369,1538,4672,473,113,0
uav0000295_02300_v,346,21932,351,63.38728323699422,4138.0,8331.054167426591,0.3119642531460879,0.008708736093379537,0.056538391391573954,5094,15767,444,45,582
uav0000300_00000_v,556,12620,78,22.697841726618705,2706.0,5429.952773375594,0.4862916006339144,0.11434231378763866,0.02583201267828843,1069,10098,836,210,407
uav0000307_00000_v,414,6999,60,16.905797101449274,2310.0,6477.615659379911,0.29647092441777395,0.08944134876410915,0.018288326903843407,414,5198,468,797,122
uav0000308_00000_v,230,7795,50,33.891304347826086,3840.0,7743.593842206543,0.5380372033354714,0.1888389993585632,0.04477228992944195,4524,2856,415,0,0
uav0000308_01380_v,185,3282,32,17.74054054054054,2911.0,9233.605118829983,0.3162705667276051,0.12004875076173065,0.04052407068860451,2245,1037,0,0,0
uav0000309_00000_v,403,10294,106,25.543424317617866,2812.0,6851.798134835827,0.4287934719253934,0.0651836020983097,0.03808043520497377,3724,5706,864,0,0
uav0000315_00000_v,632,17296,89,27.367088607594937,1856.0,3708.2697733580017,0.4551919518963922,0.07944033302497687,0.025612858464384828,3598,11859,1507,332,0
uav0000316_01288_v,127,2593,27,20.41732283464567,4087.0,13019.259544928655,0.27304280755881216,0.008098727342846125,0.027381411492479753,1310,1025,116,142,0
uav0000323_01173_v,426,17879,72,41.96948356807512,2204.0,3945.477655349852,0.5727948990435706,0.0017338777336540075,0.019464175848761117,1799,12644,2899,327,210
uav0000326_01035_v,369,21358,96,57.88075880758807,3626.0,4094.349751849424,0.02252083528420264,0.003230639572993726,0.03684801947747916,1608,17018,1153,956,623
uav0000329_04715_v,196,6945,55,35.433673469387756,3549.0,7139.453419726422,0.4958963282937365,0.03282937365010799,0.07962562994960404,1564,4501,880,0,0
uav0000342_04692_v,277,9705,106,35.03610108303249,2160.0,4908.284595569294,0.34848016486347244,0.06625450798557445,0.04750128799587841,2446,5297,1381,581,0
uav0000352_05980_v,196,9437,75,48.14795918367347,4968.0,6874.722157465296,0.5240012715905479,0.06877185546254107,0.02733919677863728,1450,7101,852,34,0
uav0000357_00920_v,691,31964,131,46.2575976845152,2400.0,6628.589413089726,0.4714679013890627,0.10840320360405456,0.09811037417094232,15950,14551,730,521,212
uav0000360_00001_v,421,13745,76,32.648456057007124,3666.0,5754.756711531466,0.5861040378319389,0.17220807566387777,0.06104037831938887,2113,10382,950,300,0
uav0000361_02323_v,219,14037,81,64.0958904109589,3312.0,4631.473676711548,0.5028852318871554,0.0,0.011754648429151528,2557,7338,3485,438,219
uav0000363_00001_v,462,8271,44,17.9025974025974,1978.0,4629.650828194898,0.6409140369967355,0.04836174585902551,0.07363075807036634,3996,3550,191,319,215
uav0000366_00001_v,296,21261,91,71.82770270270271,5658.0,11255.985043036546,0.5502563378956775,0.0,0.03381778843892573,5685,14894,470,212,0
